invoice_number,release_date,business_partner_code,seller_code,invoice_value,item_quantity,item_code
6,2022-05-04,C000349,1,21584.56,6,S0006
10,2022-05-06,C000064,23,5300.81,9,S0006
11,2022-05-06,C000064,23,2822.06,10,S0006
12,2022-05-06,C000064,23,5807.58,1,S0006
14,2022-05-09,C000004,1,10577.68,3029,S0006
14,2022-05-09,C000004,1,64637.68,1503,S0006
22,2022-05-18,C000337,7,4314.2,13,S0005
22,2022-05-18,C000337,7,2135.35,6,S0005
25,2022-05-19,C000499,3,3750.36,1,S0002
27,2022-05-19,C000488,6,7613.99,1,S0005
29,2022-05-30,C000456,6,1035.53,9,S0006
30,2022-06-01,C000229,1,23185.01,8,S0005
31,2022-06-01,C000229,1,11271.31,9,S0005
32,2022-06-07,C000004,1,70005.13,1509,S0006
32,2022-06-07,C000004,1,10961.42,3014,S0006
33,2022-06-07,C000060,4,4561.8,1,S0005
33,2022-06-07,C000060,4,4641.78,1,S0005
34,2022-06-10,C000064,23,4758.62,12,S0006
35,2022-06-13,C000544,23,1527.66,1,S0006
36,2022-06-21,C000456,6,479.05,3,S0006
37,2022-06-23,C000552,5,7477.95,4,S0005
38,2022-07-01,C000004,1,102157.02,1,S0007
39,2022-07-01,C000581,4,54939.02,1,S0006
40,2022-07-05,C000477,3,3220.96,10,S0005
41,2022-07-05,C000477,3,801.86,1,S0005
42,2022-07-05,C000060,4,1105.94,2,S0003
42,2022-07-05,C000060,4,7217.54,3,S0005
42,2022-07-05,C000060,4,8036.46,1,S0005
42,2022-07-05,C000060,4,10914.14,1,S0005
44,2022-07-05,C000004,1,108103.96,1520,S0006
44,2022-07-05,C000004,1,15075.62,3027,S0006
45,2022-07-05,C000064,23,3488.01,10,S0006
46,2022-07-07,C000276,1,16033.44,73,S0001
46,2022-07-07,C000276,1,12424.6,87,S0001
46,2022-07-07,C000276,1,6984.09,49,S0001
48,2022-07-20,C000120,1,52053.64,8,S0002
49,2022-07-20,C000349,1,19040.19,6,S0002
50,2022-07-29,C000436,3,742.89,1,S0006
51,2022-08-02,C000060,4,1322.34,12,S0003
51,2022-08-02,C000060,4,7050.36,1,S0005
51,2022-08-02,C000060,4,11546.01,1,S0005
51,2022-08-02,C000060,4,17823.0,1,S0005
54,2022-08-04,C000064,23,7841.74,7,S0006
56,2022-08-05,C000150,1,51660.57,374,S0003
56,2022-08-05,C000150,1,58677.04,271,S0003
56,2022-08-05,C000150,1,29843.28,145,S0003
57,2022-08-05,C000004,1,9349.1,3019,S0006
58,2022-08-05,C000004,1,64060.34,1496,S0006
